model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
14071_41_50_51_Developed,14071_41_50_51,Developed,0,Laurentian Pine-Oak Barrens,1601,120,43,14071,41,778,5
14071_41_50_51_Water,14071_41_50_51,Water,0,Laurentian Pine-Oak Barrens,NA,NA,NA,NA,NA,NA,NA
14071_41_50_51_UN,14071_41_50_51,UN,0,Laurentian Pine-Oak Barrens,1601,6,3,14071,41,778,0
14071_41_50_51_UE,14071_41_50_51,UE,0,Laurentian Pine-Oak Barrens,1601,7,7,14071,41,778,0
14072_41_50_51_A,14072_41_50_51,A,14,Laurentian Pine-Oak Barrens - Jack Pine,1602,1,23120,14072,41,1185114,1
14072_41_50_51_B,14072_41_50_51,B,23,Laurentian Pine-Oak Barrens - Jack Pine,1602,2,4316,14072,41,1185114,0
14072_41_50_51_C,14072_41_50_51,C,49,Laurentian Pine-Oak Barrens - Jack Pine,1602,3,1013508,14072,41,1185114,85
14072_41_50_51_D,14072_41_50_51,D,14,Laurentian Pine-Oak Barrens - Jack Pine,1602,4,39,14072,41,1185114,0
14072_41_50_51_E,14072_41_50_51,E,NA,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_Agriculture,14072_41_50_51,Agriculture,0,Laurentian Pine-Oak Barrens - Jack Pine,1602,180,18660,14072,41,1185114,1
14072_41_50_51_Developed,14072_41_50_51,Developed,0,Laurentian Pine-Oak Barrens - Jack Pine,1602,120,42537,14072,41,1185114,3
14072_41_50_51_Water,14072_41_50_51,Water,0,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_UN,14072_41_50_51,UN,0,Laurentian Pine-Oak Barrens - Jack Pine,NA,NA,NA,NA,NA,NA,NA
14072_41_50_51_UE,14072_41_50_51,UE,0,Laurentian Pine-Oak Barrens - Jack Pine,1602,7,82934,14072,41,1185114,6
14120_39_40_41_42_43_50_51_A,14120_39_40_41_42_43_50_51,A,80,North-Central Interior Sand and Gravel Tallgrass Prairie,NA,NA,NA,NA,NA,NA,NA
14120_39_40_41_42_43_50_51_B,14120_39_40_41_42_43_50_51,B,16,North-Central Interior Sand and Gravel Tallgrass Prairie,1603,2,2,14120,41,533,0
